data=ml-100k
uid=344   rank_sort=[('168', 54.09393540939347), ('56', 49.68117564958153), ('423', 43.51866112932985), ('82', 31.191814987618066), ('282', 22.7959818612552), ('300', 22.238311317195524), ('238', 20.610646959833343), ('135', 20.398131533770453), ('170', 17.442943673811), ('161', 14.692348135203414)]
uid=345   rank_sort=[('423', 62.818865799839564), ('82', 51.36964801121045), ('97', 47.212076400566175), ('168', 46.3867411707132), ('7', 38.67963000769681), ('195', 29.262808399261758), ('546', 28.20394505095822), ('96', 25.650089892252332), ('328', 18.41669011575372), ('135', 18.026356401887828)]
uid=346   rank_sort=[('69', 79.03176530913038), ('82', 49.81908689145159), ('1', 36.221877633755646), ('568', 35.01958806294871), ('202', 28.05431444663372), ('135', 26.258044442173617), ('393', 23.286849256449905), ('118', 21.557122502494046), ('258', 20.56003735406965), ('222', 19.37846636121013)]
uid=347   rank_sort=[('161', 46.76731508394825), ('566', 32.14725266392693), ('196', 26.792857116141118), ('393', 26.438472762193697), ('89', 24.513790698587812), ('64', 20.11569897027367), ('143', 19.98580763871787), ('71', 18.758160295340062), ('419', 18.599899856237794), ('250', 16.749116486640666)]
uid=340   rank_sort=[('210', 40.0070241708835), ('172', 34.96909063463157), ('69', 34.3788287661327), ('82', 24.72018539886048), ('97', 21.54605562936391), ('202', 21.23924164578066), ('393', 19.025718767425115), ('121', 18.37685650544362), ('99', 17.93997834564992), ('135', 17.611814967941996)]
uid=341   rank_sort=[('333', 10.187121277356475), ('300', 9.989080614871675), ('876', 8.15667661988289), ('328', 7.742552697979074), ('307', 7.620604722084957), ('681', 6.365253636876513), ('258', 5.884321775020149), ('286', 5.5593183439316585), ('748', 5.368644283038153), ('261', 5.222246961176582)]
uid=342   rank_sort=[('168', 72.75790993992233), ('69', 67.90270840436116), ('172', 65.21706402088722), ('117', 44.78971672936112), ('50', 43.064956828315474), ('121', 42.42264137683056), ('210', 39.873573130408836), ('195', 35.70887470226263), ('1', 32.47701030603659), ('202', 32.16934953136475)]
uid=343   rank_sort=[('204', 140.99334420329927), ('172', 111.21364879557949), ('210', 88.74938268543107), ('216', 71.48997933727304), ('195', 69.71890825618216), ('181', 45.82293668388242), ('96', 39.640397176891625), ('161', 37.15423686864672), ('226', 34.279375940757696), ('186', 29.73332501513107)]
uid=810   rank_sort=[('258', 38.67260643268219), ('748', 22.761466372942458), ('302', 20.229616862320054), ('322', 15.632953225595777), ('307', 10.800386010773561), ('301', 8.996181038955914), ('245', 8.801612981886755), ('50', 8.571718053526485), ('271', 6.163991641990194), ('347', 6.008601643184244)]
uid=811   rank_sort=[('288', 23.81593862341454), ('328', 21.10689499593516), ('313', 15.941113078311902), ('322', 13.591776906924663), ('333', 12.334262477880314), ('302', 12.088794127542073), ('245', 10.414141983767399), ('50', 8.703684709131075), ('269', 7.68027022683676), ('301', 5.454506699844687)]
uid=812   rank_sort=[('288', 24.157596732188978), ('258', 23.61441448405704), ('322', 15.993814914011326), ('313', 9.06046206718659), ('323', 7.57631007650505), ('307', 6.76621094185393), ('331', 5.867570506131275), ('50', 4.328391506565245), ('681', 3.3095978132719845), ('271', 3.205217459112124)]
uid=813   rank_sort=[('258', 20.574939466386578), ('328', 17.05803016960877), ('748', 14.026035729931914), ('313', 13.613102029304969), ('302', 12.730178835840773), ('294', 11.262175710999927), ('333', 10.363964282975996), ('288', 9.639995430187453), ('286', 8.366428218556372), ('272', 8.357156586106848)]
uid=348   rank_sort=[('50', 36.875987680177104), ('597', 29.299054741958546), ('181', 27.525863214084467), ('222', 18.407255080149326), ('235', 17.72719149374065), ('258', 13.97150608583641), ('300', 12.58479981538429), ('748', 11.579874966699787), ('282', 11.274796700803547), ('125', 10.775767349463239)]
uid=349   rank_sort=[('117', 31.344921580506107), ('1', 27.284931885956148), ('405', 22.019292363587414), ('50', 19.9305416501664), ('7', 19.75337727820751), ('282', 15.995769999362679), ('742', 15.141352216619163), ('181', 10.348210369657197), ('597', 8.670901579525987), ('127', 7.338448777518613)]
uid=816   rank_sort=[('748', 24.96051249606344), ('333', 20.156913171976985), ('286', 14.838968055975876), ('245', 12.602875454167895), ('302', 7.940245870699723), ('751', 7.306891798582058), ('50', 6.854842969953561), ('307', 6.778884632502347), ('347', 5.969320724322858), ('181', 4.509361795380995)]
uid=817   rank_sort=[('50', 30.406293391655602), ('181', 23.100454378352968), ('100', 17.969296606474355), ('237', 15.777108605428914), ('742', 13.675246059883099), ('748', 13.502655702462215), ('333', 12.222370957686), ('286', 12.003018442037382), ('151', 9.253081429562622), ('685', 7.191976600450032)]
uid=737   rank_sort=[('172', 29.575923336307426), ('98', 27.465250344798875), ('204', 26.317487800698988), ('69', 24.975137513963155), ('195', 24.928077695210767), ('56', 24.85600761210272), ('168', 20.06064622303052), ('210', 17.428617709994153), ('50', 15.72228010017905), ('135', 15.567354463912864)]
uid=719   rank_sort=[('204', 43.01485826126396), ('174', 39.11787312089925), ('172', 37.705163214207694), ('196', 34.4735875631845), ('210', 21.319232952446004), ('117', 20.910573736385736), ('1', 16.30240606405792), ('405', 15.921069662641877), ('100', 14.62702821909824), ('56', 14.411406588446976)]
uid=718   rank_sort=[('117', 43.43795710704284), ('1', 30.844897011112284), ('237', 29.093815928769928), ('50', 21.03507877548422), ('181', 18.411178394118373), ('7', 12.859589024223947), ('100', 12.133454831922084), ('125', 10.390717517070135), ('25', 10.18764428169894), ('411', 8.853173365452605)]
uid=717   rank_sort=[('1', 52.340854300284434), ('118', 34.79501468401133), ('181', 31.625342902440412), ('15', 13.37188707040066), ('272', 12.689661648118264), ('151', 12.04183587788214), ('284', 11.962309835232027), ('56', 10.193190086123005), ('98', 10.162446220836983), ('323', 9.0454582085171)]
uid=716   rank_sort=[('654', 44.06096001740682), ('100', 38.14201775425002), ('403', 34.264725753824884), ('89', 26.992948322985523), ('71', 25.763682915365926), ('7', 23.99205774888091), ('226', 20.65245174426816), ('550', 19.55713193461747), ('742', 17.63349794360922), ('402', 16.033268044764373)]
uid=715   rank_sort=[('210', 79.72707589796312), ('423', 52.805789465251394), ('385', 38.362473325170455), ('403', 34.795345768905605), ('550', 30.858061851080027), ('226', 26.68153587696525), ('742', 26.506876481927968), ('393', 25.323099577166783), ('568', 25.093663529206488), ('228', 19.04044459464978)]
uid=714   rank_sort=[('546', 29.14969195829704), ('222', 25.54345186198186), ('742', 23.663554659065433), ('328', 13.543975341674674), ('288', 13.45111162954792), ('282', 12.069437122375549), ('127', 10.24803308755796), ('411', 9.834721092323331), ('286', 8.78046807015703), ('298', 8.148042868703744)]
uid=713   rank_sort=[('258', 15.66733604056004), ('316', 9.147876007102035), ('333', 9.052150423979786), ('310', 8.799531087466418), ('288', 8.353235375597057), ('301', 6.766841738636233), ('346', 6.708913774022202), ('312', 5.8845058835873685), ('328', 5.860180459282545), ('303', 5.770313303666164)]
uid=712   rank_sort=[('216', 46.812417644202334), ('403', 42.14510637643967), ('161', 40.556072524216276), ('98', 28.252824201202568), ('56', 24.358589950632044), ('80', 16.735262849126414), ('550', 16.027553919653677), ('132', 15.846497825003027), ('29', 15.767000985293294), ('226', 14.240691876704405)]
uid=711   rank_sort=[('174', 119.11636148359624), ('210', 84.98104333065943), ('100', 35.012295289068305), ('195', 32.023827022843385), ('1', 28.915715687681875), ('56', 26.63804735821784), ('385', 25.865315254357633), ('176', 24.417009377923673), ('302', 23.48853899038447), ('405', 22.941057084835993)]
uid=710   rank_sort=[('98', 66.1930207528239), ('69', 46.22112774945718), ('195', 40.44013202536057), ('423', 26.049487048964846), ('168', 25.58818554865565), ('96', 21.142229782698223), ('288', 20.261774754658855), ('176', 17.729578152002947), ('191', 17.411306608918096), ('588', 16.337487733440597)]
uid=421   rank_sort=[('204', 50.505464425672585), ('195', 48.71574230155745), ('210', 39.07914262407542), ('69', 30.627869026631124), ('181', 18.724726812155396), ('168', 14.241574872700445), ('121', 14.178487227120456), ('135', 14.103152395489385), ('1', 14.085636024285245), ('559', 13.052886867648509)]
uid=129   rank_sort=[('328', 12.920719349531428), ('333', 11.411986054380455), ('294', 10.554668444294588), ('340', 6.331627407773223), ('301', 5.972695680814512), ('347', 5.82068602171555), ('315', 5.035164725343069), ('322', 4.564210622873617), ('305', 4.51655473298765), ('50', 4.298454318448066)]
uid=420   rank_sort=[('50', 18.17582537769857), ('13', 15.769170171995285), ('174', 15.450840371680183), ('1', 14.342872315823437), ('7', 12.87658128561543), ('258', 12.661068031214892), ('237', 11.227938638516891), ('269', 11.085857939007617), ('181', 11.061494362926679), ('300', 10.593353267530208)]
uid=423   rank_sort=[('117', 32.19706814820633), ('121', 30.949869026154023), ('288', 24.66518298900211), ('50', 23.459307312715698), ('294', 20.369097172066116), ('1', 20.142150773581882), ('742', 19.807981145189675), ('7', 15.476513269751369), ('405', 14.32442010839615), ('181', 11.181194127511674)]
uid=422   rank_sort=[('121', 42.796514951802614), ('405', 26.486059474337537), ('300', 22.692747739546817), ('174', 22.061241804150676), ('56', 18.456616526932823), ('328', 18.225961030159272), ('443', 12.516647976505915), ('172', 12.17073917736744), ('313', 11.952933429359588), ('183', 11.723040113341519)]
uid=425   rank_sort=[('226', 51.50473851690596), ('69', 45.56348016361695), ('328', 20.349543760464528), ('423', 16.817861902125134), ('135', 16.725328421347452), ('559', 15.337226444817103), ('578', 14.813675631563239), ('29', 14.022299265499527), ('315', 13.872788490230393), ('237', 13.788133958996035)]
